"","Indicator","Measure","Date","Operator","Service","Value"
"114","délai de réparation","95% les plus rapidement réparées","2015-03-30","Telenet","Fixed telephony",3.432
"115","délai de réparation","% à la durée convenue","2015-03-30","Telenet","Fixed telephony",0.5577
"116","temps de réponse","temps de réponse moyen","2015-03-30","Telenet","N/A",134.706
"117","temps de réponse","% appels en 20 secondes","2015-03-30","Telenet","N/A",18.018
"118","plaintes - facturation ","% de factures","2015-03-30","Telenet","N/A",8.58
"119","plaintes - vitesse","% de lignes","2015-03-30","Telenet","Internet access",8.58
"120","taux de couverture","% de ménages - 2G","2015-03-30","Telenet","Mobile telephony",64.35
"121","taux de couverture","% de ménages - 3G","2015-03-30","Telenet","Mobile telephony",69.498
"122","taux de couverture","% de ménages - 4G","2015-03-30","Telenet","Mobile telephony",64.35
"123","délai de fourniture ","50% les plus rapidement fournis","2015-03-30","Voo","Fixed telephony",16.302
"124","délai de fourniture ","95% les plus rapidement fournis","2015-03-30","Voo","Fixed telephony",21.45
"125","délai de fourniture ","99% les plus rapidement fournis","2015-03-30","Voo","Fixed telephony",25.74
"126","délai de fourniture ","% faits à la duree convenue","2015-03-30","Voo","Fixed telephony",0.7293
"127","taux de pannes","nombre de pannes par ligne","2015-03-30","Voo","Fixed telephony",0.16302
"128","délai de réparation","80% les plus rapidement réparées","2015-03-30","Voo","Fixed telephony",2.574
"129","délai de réparation","95% les plus rapidement réparées","2015-03-30","Voo","Fixed telephony",7.722
"130","délai de réparation","% à la durée convenue","2015-03-30","Voo","Fixed telephony",0.7293
"131","temps de réponse","temps de réponse moyen","2015-03-30","Voo","N/A",128.7
"132","temps de réponse","% appels en 20 secondes","2015-03-30","Voo","N/A",20.592
"133","plaintes - facturation ","% de factures","2015-03-30","Voo","N/A",7.722
"134","plaintes - vitesse","% de lignes","2015-03-30","Voo","Internet access",81.51
"135","taux de couverture","% de ménages - 2G","2015-03-30","Voo","Mobile telephony",73.788
"136","taux de couverture","% de ménages - 3G","2015-03-30","Voo","Mobile telephony",77.22
"137","taux de couverture","% de ménages - 4G","2015-03-30","Voo","Mobile telephony",81.51
"138","délai de fourniture ","50% les plus rapidement fournis","2015-03-30","Numericable","Fixed telephony",4.29
"139","délai de fourniture ","95% les plus rapidement fournis","2015-03-30","Numericable","Fixed telephony",11.154
"140","délai de fourniture ","99% les plus rapidement fournis","2015-03-30","Numericable","Fixed telephony",13.728
"141","délai de fourniture ","% faits à la duree convenue","2015-03-30","Numericable","Fixed telephony",0.66924
"142","taux de pannes","nombre de pannes par ligne","2015-03-30","Numericable","Fixed telephony",0.06864
"143","délai de réparation","80% les plus rapidement réparées","2015-03-30","Numericable","Fixed telephony",3.432
"144","délai de réparation","95% les plus rapidement réparées","2015-03-30","Numericable","Fixed telephony",9.438
"145","délai de réparation","% à la durée convenue","2015-03-30","Numericable","Fixed telephony",0.6435
"146","temps de réponse","temps de réponse moyen","2015-03-30","Numericable","N/A",300.3
"147","temps de réponse","% appels en 20 secondes","2015-03-30","Numericable","N/A",35.178
"148","plaintes - facturation ","% de factures","2015-03-30","Numericable","N/A",12.87
"149","plaintes - vitesse","% de lignes","2015-03-30","Numericable","Internet access",42.9
"150","taux de couverture","% de ménages - 2G","2015-03-30","Numericable","Mobile telephony",67.782
"151","taux de couverture","% de ménages - 3G","2015-03-30","Numericable","Mobile telephony",72.072
"152","taux de couverture","% de ménages - 4G","2015-03-30","Numericable","Mobile telephony",38.61
"153","délai de fourniture ","50% les plus rapidement fournis","2015-03-30","Proximus","Internet access",8.58
"154","délai de fourniture ","95% les plus rapidement fournis","2015-03-30","Proximus","Internet access",12.87
"155","délai de fourniture ","99% les plus rapidement fournis","2015-03-30","Proximus","Internet access",17.16
"156","délai de fourniture ","% faits à la duree convenue","2015-03-30","Proximus","Internet access",0.6435
"157","taux de pannes","nombre de pannes par ligne","2015-03-30","Proximus","Internet access",0.12012
"158","délai de réparation","80% les plus rapidement réparées","2015-03-30","Proximus","Internet access",2.574
"159","délai de réparation","95% les plus rapidement réparées","2015-03-30","Proximus","Internet access",4.29
"160","délai de réparation","% à la durée convenue","2015-03-30","Proximus","Internet access",0.61776
"161","délai de fourniture ","50% les plus rapidement fournis","2015-03-30","Telenet","Internet access",7.722
"162","délai de fourniture ","95% les plus rapidement fournis","2015-03-30","Telenet","Internet access",12.012
"163","délai de fourniture ","99% les plus rapidement fournis","2015-03-30","Telenet","Internet access",12.012
"164","délai de fourniture ","% faits à la duree convenue","2015-03-30","Telenet","Internet access",0.58344
"165","taux de pannes","nombre de pannes par ligne","2015-03-30","Telenet","Internet access",0.15444
"166","délai de réparation","80% les plus rapidement réparées","2015-03-30","Telenet","Internet access",1.716
"167","délai de réparation","95% les plus rapidement réparées","2015-03-30","Telenet","Internet access",3.432
"168","délai de réparation","% à la durée convenue","2015-03-30","Telenet","Internet access",0.5577
"169","délai de fourniture ","50% les plus rapidement fournis","2015-03-30","Voo","Internet access",16.302
"170","délai de fourniture ","95% les plus rapidement fournis","2015-03-30","Voo","Internet access",21.45
"171","délai de fourniture ","99% les plus rapidement fournis","2015-03-30","Voo","Internet access",25.74
"172","délai de fourniture ","% faits à la duree convenue","2015-03-30","Voo","Internet access",0.7293
"173","taux de pannes","nombre de pannes par ligne","2015-03-30","Voo","Internet access",0.16302
"174","délai de réparation","80% les plus rapidement réparées","2015-03-30","Voo","Internet access",2.574
"175","délai de réparation","95% les plus rapidement réparées","2015-03-30","Voo","Internet access",7.722
"176","délai de réparation","% à la durée convenue","2015-03-30","Voo","Internet access",0.7293
"177","délai de fourniture ","50% les plus rapidement fournis","2015-03-30","Numericable","Internet access",4.29
"178","délai de fourniture ","95% les plus rapidement fournis","2015-03-30","Numericable","Internet access",11.154
"179","délai de fourniture ","99% les plus rapidement fournis","2015-03-30","Numericable","Internet access",13.728
"180","délai de fourniture ","% faits à la duree convenue","2015-03-30","Numericable","Internet access",0.66924
"181","taux de pannes","nombre de pannes par ligne","2015-03-30","Numericable","Internet access",0.06864
"182","délai de réparation","80% les plus rapidement réparées","2015-03-30","Numericable","Internet access",3.432
"183","délai de réparation","95% les plus rapidement réparées","2015-03-30","Numericable","Internet access",9.438
"184","délai de réparation","% à la durée convenue","2015-03-30","Numericable","Internet access",0.6435
"185","délai de fourniture ","50% les plus rapidement fournis","2015-06-30","Proximus","Fixed telephony",7.21578
"186","délai de fourniture ","95% les plus rapidement fournis","2015-06-30","Proximus","Fixed telephony",10.82367
"187","délai de fourniture ","99% les plus rapidement fournis","2015-06-30","Proximus","Fixed telephony",14.43156
"188","délai de fourniture ","% faits à la duree convenue","2015-06-30","Proximus","Fixed telephony",0.5411835
"189","taux de pannes","nombre de pannes par ligne","2015-06-30","Proximus","Fixed telephony",0.10102092
"190","délai de réparation","80% les plus rapidement réparées","2015-06-30","Proximus","Fixed telephony",2.164734
"191","délai de réparation","95% les plus rapidement réparées","2015-06-30","Proximus","Fixed telephony",3.60789
"192","délai de réparation","% à la durée convenue","2015-06-30","Proximus","Fixed telephony",0.51953616
"193","temps de réponse","temps de réponse moyen","2015-06-30","Proximus","N/A",144.3156
"194","temps de réponse","% appels en 20 secondes","2015-06-30","Proximus","N/A",7.937358
"195","plaintes - facturation ","% de factures","2015-06-30","Proximus","N/A",8.658936
"196","plaintes - vitesse","% de lignes","2015-06-30","Proximus","Internet access",10.82367
"197","taux de couverture","% de ménages - 2G","2015-06-30","Proximus","Mobile telephony",69.993066
"198","taux de couverture","% de ménages - 3G","2015-06-30","Proximus","Mobile telephony",64.94202
"199","taux de couverture","% de ménages - 4G","2015-06-30","Proximus","Mobile telephony",61.33413
"200","délai de fourniture ","50% les plus rapidement fournis","2015-06-30","Telenet","Fixed telephony",6.494202
"201","délai de fourniture ","95% les plus rapidement fournis","2015-06-30","Telenet","Fixed telephony",10.102092
"202","délai de fourniture ","99% les plus rapidement fournis","2015-06-30","Telenet","Fixed telephony",10.102092
"203","délai de fourniture ","% faits à la duree convenue","2015-06-30","Telenet","Fixed telephony",0.49067304
"204","taux de pannes","nombre de pannes par ligne","2015-06-30","Telenet","Fixed telephony",0.12988404
"205","délai de réparation","80% les plus rapidement réparées","2015-06-30","Telenet","Fixed telephony",1.443156
"206","délai de réparation","95% les plus rapidement réparées","2015-06-30","Telenet","Fixed telephony",2.886312
"207","délai de réparation","% à la durée convenue","2015-06-30","Telenet","Fixed telephony",0.4690257
"208","temps de réponse","temps de réponse moyen","2015-06-30","Telenet","N/A",113.287746
"209","temps de réponse","% appels en 20 secondes","2015-06-30","Telenet","N/A",15.153138
"210","plaintes - facturation ","% de factures","2015-06-30","Telenet","N/A",7.21578
"211","plaintes - vitesse","% de lignes","2015-06-30","Telenet","Internet access",7.21578
"212","taux de couverture","% de ménages - 2G","2015-06-30","Telenet","Mobile telephony",54.11835
"213","taux de couverture","% de ménages - 3G","2015-06-30","Telenet","Mobile telephony",58.447818
"214","taux de couverture","% de ménages - 4G","2015-06-30","Telenet","Mobile telephony",54.11835
"215","délai de fourniture ","50% les plus rapidement fournis","2015-06-30","Voo","Fixed telephony",13.709982
"216","délai de fourniture ","95% les plus rapidement fournis","2015-06-30","Voo","Fixed telephony",18.03945
"217","délai de fourniture ","99% les plus rapidement fournis","2015-06-30","Voo","Fixed telephony",21.64734
"218","délai de fourniture ","% faits à la duree convenue","2015-06-30","Voo","Fixed telephony",0.6133413
"219","taux de pannes","nombre de pannes par ligne","2015-06-30","Voo","Fixed telephony",0.13709982
"220","délai de réparation","80% les plus rapidement réparées","2015-06-30","Voo","Fixed telephony",2.164734
"221","délai de réparation","95% les plus rapidement réparées","2015-06-30","Voo","Fixed telephony",6.494202
"222","délai de réparation","% à la durée convenue","2015-06-30","Voo","Fixed telephony",0.6133413
"223","temps de réponse","temps de réponse moyen","2015-06-30","Voo","N/A",108.2367
"224","temps de réponse","% appels en 20 secondes","2015-06-30","Voo","N/A",17.317872
"225","plaintes - facturation ","% de factures","2015-06-30","Voo","N/A",6.494202
"226","plaintes - vitesse","% de lignes","2015-06-30","Voo","Internet access",68.54991
"227","taux de couverture","% de ménages - 2G","2015-06-30","Voo","Mobile telephony",62.055708
"228","taux de couverture","% de ménages - 3G","2015-06-30","Voo","Mobile telephony",64.94202
"229","taux de couverture","% de ménages - 4G","2015-06-30","Voo","Mobile telephony",68.54991
"230","délai de fourniture ","50% les plus rapidement fournis","2015-06-30","Numericable","Fixed telephony",3.60789
"231","délai de fourniture ","95% les plus rapidement fournis","2015-06-30","Numericable","Fixed telephony",9.380514
"232","délai de fourniture ","99% les plus rapidement fournis","2015-06-30","Numericable","Fixed telephony",11.545248
"233","délai de fourniture ","% faits à la duree convenue","2015-06-30","Numericable","Fixed telephony",0.56283084
"234","taux de pannes","nombre de pannes par ligne","2015-06-30","Numericable","Fixed telephony",0.05772624
"235","délai de réparation","80% les plus rapidement réparées","2015-06-30","Numericable","Fixed telephony",2.886312
"236","délai de réparation","95% les plus rapidement réparées","2015-06-30","Numericable","Fixed telephony",7.937358
"237","délai de réparation","% à la durée convenue","2015-06-30","Numericable","Fixed telephony",0.5411835
"238","temps de réponse","temps de réponse moyen","2015-06-30","Numericable","N/A",252.5523
"239","temps de réponse","% appels en 20 secondes","2015-06-30","Numericable","N/A",29.584698
"240","plaintes - facturation ","% de factures","2015-06-30","Numericable","N/A",10.82367
"241","plaintes - vitesse","% de lignes","2015-06-30","Numericable","Internet access",36.0789
"242","taux de couverture","% de ménages - 2G","2015-06-30","Numericable","Mobile telephony",57.004662
"243","taux de couverture","% de ménages - 3G","2015-06-30","Numericable","Mobile telephony",60.612552
"244","taux de couverture","% de ménages - 4G","2015-06-30","Numericable","Mobile telephony",32.47101
"245","délai de fourniture ","50% les plus rapidement fournis","2015-06-30","Proximus","Internet access",7.21578
"246","délai de fourniture ","95% les plus rapidement fournis","2015-06-30","Proximus","Internet access",10.82367
"247","délai de fourniture ","99% les plus rapidement fournis","2015-06-30","Proximus","Internet access",14.43156
"248","délai de fourniture ","% faits à la duree convenue","2015-06-30","Proximus","Internet access",0.5411835
"249","taux de pannes","nombre de pannes par ligne","2015-06-30","Proximus","Internet access",0.10102092
"250","délai de réparation","80% les plus rapidement réparées","2015-06-30","Proximus","Internet access",2.164734
"251","délai de réparation","95% les plus rapidement réparées","2015-06-30","Proximus","Internet access",3.60789
"252","délai de réparation","% à la durée convenue","2015-06-30","Proximus","Internet access",0.51953616
"253","délai de fourniture ","50% les plus rapidement fournis","2015-06-30","Telenet","Internet access",6.494202
"254","délai de fourniture ","95% les plus rapidement fournis","2015-06-30","Telenet","Internet access",10.102092
"255","délai de fourniture ","99% les plus rapidement fournis","2015-06-30","Telenet","Internet access",10.102092
"256","délai de fourniture ","% faits à la duree convenue","2015-06-30","Telenet","Internet access",0.49067304
"257","taux de pannes","nombre de pannes par ligne","2015-06-30","Telenet","Internet access",0.12988404
"258","délai de réparation","80% les plus rapidement réparées","2015-06-30","Telenet","Internet access",1.443156
"259","délai de réparation","95% les plus rapidement réparées","2015-06-30","Telenet","Internet access",2.886312
"260","délai de réparation","% à la durée convenue","2015-06-30","Telenet","Internet access",0.4690257
"261","délai de fourniture ","50% les plus rapidement fournis","2015-06-30","Voo","Internet access",13.709982
"262","délai de fourniture ","95% les plus rapidement fournis","2015-06-30","Voo","Internet access",18.03945
"263","délai de fourniture ","99% les plus rapidement fournis","2015-06-30","Voo","Internet access",21.64734
"264","délai de fourniture ","% faits à la duree convenue","2015-06-30","Voo","Internet access",0.6133413
"265","taux de pannes","nombre de pannes par ligne","2015-06-30","Voo","Internet access",0.13709982
"266","délai de réparation","80% les plus rapidement réparées","2015-06-30","Voo","Internet access",2.164734
"267","délai de réparation","95% les plus rapidement réparées","2015-06-30","Voo","Internet access",6.494202
"268","délai de réparation","% à la durée convenue","2015-06-30","Voo","Internet access",0.6133413
"269","délai de fourniture ","50% les plus rapidement fournis","2015-06-30","Numericable","Internet access",3.60789
"270","délai de fourniture ","95% les plus rapidement fournis","2015-06-30","Numericable","Internet access",9.380514
"271","délai de fourniture ","99% les plus rapidement fournis","2015-06-30","Numericable","Internet access",11.545248
"272","délai de fourniture ","% faits à la duree convenue","2015-06-30","Numericable","Internet access",0.56283084
"273","taux de pannes","nombre de pannes par ligne","2015-06-30","Numericable","Internet access",0.05772624
"274","délai de réparation","80% les plus rapidement réparées","2015-06-30","Numericable","Internet access",2.886312
"275","délai de réparation","95% les plus rapidement réparées","2015-06-30","Numericable","Internet access",7.937358
"276","délai de réparation","% à la durée convenue","2015-06-30","Numericable","Internet access",0.5411835
"277","délai de fourniture ","50% les plus rapidement fournis","2015-09-30","Proximus","Fixed telephony",5.3396772
"278","délai de fourniture ","95% les plus rapidement fournis","2015-09-30","Proximus","Fixed telephony",8.0095158
"279","délai de fourniture ","99% les plus rapidement fournis","2015-09-30","Proximus","Fixed telephony",10.6793544
"280","délai de fourniture ","% faits à la duree convenue","2015-09-30","Proximus","Fixed telephony",0.40047579
"281","taux de pannes","nombre de pannes par ligne","2015-09-30","Proximus","Fixed telephony",0.0747554808
"282","délai de réparation","80% les plus rapidement réparées","2015-09-30","Proximus","Fixed telephony",1.60190316
"283","délai de réparation","95% les plus rapidement réparées","2015-09-30","Proximus","Fixed telephony",2.6698386
"284","délai de réparation","% à la durée convenue","2015-09-30","Proximus","Fixed telephony",0.3844567584
"285","temps de réponse","temps de réponse moyen","2015-09-30","Proximus","N/A",106.793544
"286","temps de réponse","% appels en 20 secondes","2015-09-30","Proximus","N/A",5.87364492
"287","plaintes - facturation ","% de factures","2015-09-30","Proximus","N/A",6.40761264
"288","plaintes - vitesse","% de lignes","2015-09-30","Proximus","Internet access",8.0095158
"289","taux de couverture","% de ménages - 2G","2015-09-30","Proximus","Mobile telephony",51.79486884
"290","taux de couverture","% de ménages - 3G","2015-09-30","Proximus","Mobile telephony",48.0570948
"291","taux de couverture","% de ménages - 4G","2015-09-30","Proximus","Mobile telephony",45.3872562
"292","délai de fourniture ","50% les plus rapidement fournis","2015-09-30","Telenet","Fixed telephony",4.80570948
"293","délai de fourniture ","95% les plus rapidement fournis","2015-09-30","Telenet","Fixed telephony",7.47554808
"294","délai de fourniture ","99% les plus rapidement fournis","2015-09-30","Telenet","Fixed telephony",7.47554808
"295","délai de fourniture ","% faits à la duree convenue","2015-09-30","Telenet","Fixed telephony",0.3630980496
"296","taux de pannes","nombre de pannes par ligne","2015-09-30","Telenet","Fixed telephony",0.0961141896
"297","délai de réparation","80% les plus rapidement réparées","2015-09-30","Telenet","Fixed telephony",1.06793544
"298","délai de réparation","95% les plus rapidement réparées","2015-09-30","Telenet","Fixed telephony",2.13587088
"299","délai de réparation","% à la durée convenue","2015-09-30","Telenet","Fixed telephony",0.347079018
"300","temps de réponse","temps de réponse moyen","2015-09-30","Telenet","N/A",83.83293204
"301","temps de réponse","% appels en 20 secondes","2015-09-30","Telenet","N/A",11.21332212
"302","plaintes - facturation ","% de factures","2015-09-30","Telenet","N/A",5.3396772
"303","plaintes - vitesse","% de lignes","2015-09-30","Telenet","Internet access",5.3396772
"304","taux de couverture","% de ménages - 2G","2015-09-30","Telenet","Mobile telephony",40.047579
"305","taux de couverture","% de ménages - 3G","2015-09-30","Telenet","Mobile telephony",43.25138532
"306","taux de couverture","% de ménages - 4G","2015-09-30","Telenet","Mobile telephony",40.047579
"307","délai de fourniture ","50% les plus rapidement fournis","2015-09-30","Voo","Fixed telephony",10.14538668
"308","délai de fourniture ","95% les plus rapidement fournis","2015-09-30","Voo","Fixed telephony",13.349193
"309","délai de fourniture ","99% les plus rapidement fournis","2015-09-30","Voo","Fixed telephony",16.0190316
"310","délai de fourniture ","% faits à la duree convenue","2015-09-30","Voo","Fixed telephony",0.453872562
"311","taux de pannes","nombre de pannes par ligne","2015-09-30","Voo","Fixed telephony",0.1014538668
"312","délai de réparation","80% les plus rapidement réparées","2015-09-30","Voo","Fixed telephony",1.60190316
"313","délai de réparation","95% les plus rapidement réparées","2015-09-30","Voo","Fixed telephony",4.80570948
